orig,corr,agree,total agree,,Input.orig,Agree?,Total
"Nowadays, the number of young people who have diabetes is increasing dramatically, the health sectors should put more efforts to disseminate the information of health diet and lifestyle among the youth.","Nowadays, the number of young people who have diabetes is increasing dramatically so the health sectors should put more efforts to disseminating information about health and diet among the youth.",1,2,,"The future of mankind is more and more important to environmental protection, so we can forsee that the hydrogen based fuel cells to power vehicles will become more and more popular.",0,1
"It might be because, soon after Kenji's generation, Japan plunged into the era in which Japanese compelled Japanese to sacrifice themselves in insane way, for example Kamikaze or Banzai-Attack.","It might be because, soon after Kenji's generation, Japan plunged into the era in which Japanese compelled Japanese to sacrifice themselves in insane ways, for example Kamikaze or Banzai attacks.",0,1,,"Following questions were so hard to response like ""if your best friend betrayed you, what would you do?"", ""if your best friend told you that he wanted to commit suicide, what would you do?",1,3
"It may be easy for us to grow vegetables and fruits against the great nature but these plants which grow up in plastic house contains toxic chemicals, therefore we should wash them carefully.","It may be easy for us to grow vegetables and fruits against the great nature but these plants which grow up in plastic houses containing toxic chemicals, therefore we should wash them carefully.",1,2,,"It's that moment after a conversation with a friend that was supposed to last 20 minutes, but instead, 4 hours straight, both of you deeply involved in whatever topic that popped up.",1,3
"Huge names like Nilla Pizzi, Fred Buscaglione, Gino Latilla, Claudio Villa, Il Quartetto Cetra, Renato Carosone, Adriano Celantano and others made great Italy among international music.","Huge names like Nilla Pizzi, Fred Buscaglione, Gino Latilla, Claudio Villa, Il Quartetto Cetra, Renato Carosone, Adriano Celantano and others made Italy one of the greats of international music.",1,3,,"When I'll finish high school I'd study civil engineering and, considering that my brother and his wife are engineers, my parents told me that I could go to them in Australia if I don't find work in Italy.",0,0
She hesitated for a moment and went to the door and stopped against me (I usually stay close to the door to exit from carriage fast on the transfer station before the escalator will be crowded).,She hesitated for a moment and went to the door and stopped beside me (I usually stay close to the door to exit from the carriage fast at the transfer station before the escalator gets crowded).,0,1,,"I know how to differentiate between ""the"" and ""a/an""  and ""plural form"" in Countable noun,but It's not clear for me how to differentiate between zero article and bare plural in Countable noun.",1,3
"Next, I faced to a student who said ""I don't understand everything, from the beginning"" Normally he doesn't get the meaning of questions, that's why it took time to start solving each questions.","Next, I faced to a student who said ""I don't understand everything, from the beginning"" Normally he doesn't get the meaning of questions, that's why it took time to start solving each questions.",0,0,,"I know that you can speak English and France, so I recommend you this job because one of the most important requirements is that you have to speak English as well as other language.",1,3
"She asked me a couple of questions regarding the reason of this visit and checked my daughter's heartbeat and temperature, then asked us to stay in the room and wait for the doctor's coming.",She asked me a couple of questions regarding the reason of  our visit and checked my daughter's heartbeat and temperature. Then she asked us to stay in the room and wait for the  doctor to come.,1,3,,My uncle smiled and cleaned his tears while my grandfather was looking for the person who touched him and when he got noticed that was his brother all of them smiled and cleaned their tears.,1,2
"Today I happened to read a newspaper article, which tells about ""omotenashi (hospitality),""  the word which became popular in Japan after Tokyo was nominated to host the 2020 Olympics last month.","Today I happened to read a newspaper article, which tells about ""omotenashi (hospitality).""  This word has become popular in Japan since Tokyo was nominated to host the 2020 Olympics last month.",1,3,,"I want to learn English because I would like to understand the content of the videos about photography, poker, videomaker, computer program and others subjects that I like to study on youtube and web.",0,0
"Graduating in 2016 with double degrees in Chemical Engineering and Political Science, I have always aspired to experience and become part of the dynamic world of international cooperation industry.","Graduated in 2016 with double-degree in Chemical Engineering and Political Science, I had always aspired to experience and become part of the dynamic world of International Cooperation Industry.",0,0,,"Because I think that American company and engineer has lead the IT industry since its birth, even in Japan, the worker who was concerned in the IT industry uses much English terms.",1,2
"Additionally, there is a big train station near my school, everyday I can see many trains passing my school but to my surprised, no more noise produced from the trains running on the railway.","Additionally, there is a large train station near my school; everyday I can see many trains passing my school but to my surprise, not much noise is produced by the trains running on the railway.",0,1,,Spending a few months or even a year to seeking a job makes me happy is much better than spending a lifetime trapped in a place that we are reluctant to do because it's just as safe and stable.,1,3
"In addition, reports of youth involvement in cyberbullying have received greater media attention as a result of reports of several deaths by suicide attributed at least in part to cyberbullying.","In addition, reports of youth involvement in cyberbullying have received greater media attention as a result of reports of several deaths by suicide attributed at least in part to cyberbullying.",1,3,,i wake up all the days woundering if  i am doing  the correct things in my life when im still on my bed  i start to think what can i do for beacome a bether person and whit kind of things should i must change.,0,0
"This experience, however, clearly shows that Yokocho gives you not only great meals and drinks, but also a great opportunity to meet and talk with various people and make connections with them.","This experience, however, clearly shows that Yokocho gives you not only great meals and drinks, but also great opportunities to meet and talk with various people, and make connections with them.",0,1,,"""The David you are sculpting is you,and you do it with your thought.""This is am important concept from the book""secret"",which is a meaningful gift from my dear sister many years ago.",1,2
"During the story, Asbag knows very variety characters like Arabic kings, bishops from Christian kingdoms, people from Capadocia and Byzantium, whereas he is developing his skills as a scribe.","The story narrates how came to Asbag know of a variety characters such as Arabic monarchs, Christian bishops, various people from Capadocia and Byzantium while developing his skills as a scribe.",0,0,,"Given several  inefficient or inappropriate cases, the learners will identify the main raisons for the poor output, so as to take measures to improve the procedure and to get a better performance.",0,1
"It was very interesting, ""the entire money-structured and materialistic-oriented society is a false society"", he said, and the curious thing here is how he tried improve the lives society.","It was very interesting, ""the entire money-structured and materialistic-oriented society is a false society"", he said, and the curious thing here is how he tried to improve the lives of society.",0,1,,I am currently studying the role of university dormitories in the lives of their students and the deepen of mutual understanding between international students and domestic students.,1,3
"Web design is a similar process of creation, with the intention of presenting the content on electronic web pages, which the end-users can access through the internet with the help of a web browser.","Web design is a similar process of creation with the intent of presenting the content on electronic web pages, which the end-users can access through the Internet with the help of a web browser.",1,3,,"I was very confused and getting depressed little by little since almost only the disaster relating news were on media, such as TV, radio and SNS, and I didn't get used to using SNS things at that time.",0,1
"Before I entered at college, i was learning Japanese on my own, I only focus my learning on the Japanese language, and no on  the Japanese literature or history even though I was interested in.","Before I started college, I was learning Japanese on my own. I only focused my learning on the Japanese language, and not on () Japanese literature or history even though I was interested in it.",1,2,,"Fortunately, cool air is coming through the windows now at night, but I don't have either an air conditioner or a fan in my room, so if it gets hotter anymore I would be gone to pot.",1,2
"My greatest fears for the future are becoming homeless and prostate examination (please, God, have nano-technology fully developed and affordable for that day!) And my biggest expectation is love.","My greatest fears for the future are becoming homeless and a prostate examination (please, God, have nano-technology fully developed and affordable for that day!) And my biggest hope(?) is love.",0,1,,"As Choi Jae-sok points out, Nihongi contains quite a number of errors about historical facts, nevertheless, Nihongi still plays an important role in the study of ancient East Asian history.",1,3
"Because of this fear, he suspected Hyde of many things, like blackmailing or according to Utterson he could be a potential murderer, a sadist or he could capable to commit any act of violence.","Because of this fear, he suspects Hyde of many things, like blackmailing or according to Utterson he could be a potential murderer, a sadist or he could be capable to commit any act of violence.",1,2,,"It might be because, soon after Kenji's generation, Japan plunged into the era in which Japanese compelled Japanese to sacrifice themselves in insane way, for example Kamikaze or Banzai-Attack.",1,2
"Although my husband will have to stay up all night tonight for annual railway time schedule revision, mom ended up in getting up too early in the morning at four, at the same time I got up.","Although my husband had to stay up all night for preparing the revised annual railway time schedule, my mom ended up waking too early in the morning at four, which was at the same time I got up.",1,2,,"In addition to that, it is impossible to memorize techincal terms, such as business a law, computer, and so on  because there are a lot of law terms that even Japanese people don't know.",1,2
"(I'm still wondering if accepting childish people is a condition of being mature, not being childish)  But the problem is that many people, including me, are very good at hiding their childishness.","(I'm still wondering if accepting childish people is a result of being mature, not being childish) But the problem is that many people, including me, are very good at hiding their childishness.",1,2,,"Furthermore, when I was 20 years old, I listened another concerto 'Elgar violin sonata in e minor op.82' through Japanese anime 'Nodame Cantabile.' It was very mournful and made me struck a chord in my heart.",0,1
Anyone who has tried learning a foreign language soon will realize that they cannot substitute one word for another because words are concepts and some concepts are unique to a particular culture.,Anyone who has tried learning a foreign language soon  realizes that they cannot substitute one word for another because words are concepts and some concepts are unique to a particular culture.,1,3,,People tend to go to foreign capital company when they take high score at the TOEIC test but it is ill-advised attempt because there are a lot of native English speakers and bilingual people.,1,3
"Maybe when I have suspected feeling my boy-friend cheating,or if the woman who is more beautiful,and attractive than me shows in front of him,he absolutely changes his mind,,kind of thing,","Maybe when I suspect that my boyfriend is cheating on me, or if a woman who is more beautiful and attractive than me appears in front of him, he absolutely changes his mind, that kind of thing.",1,3,,"Andy is a woman who studied journalistm and she went to New York city for working as a journalist but she decided to work as Miranda's assistant even though, she didn't know anything about Miranda.",1,3
"Acutually,there are still many black companys in Japan, but considering recent attack on black companys, I think the working conditions in Japan is getting better than before at reast.","Acutually, there are still many black companies in Japan, but considering the recent attack on black companies, I think the working conditions in Japan are getting better than before, at least.",1,2,,"I can read English to some extent because I have learned English for more than 10 year from junior high school to university, but I have not trained the ability of writing, listening to and speeking English.",0,1
"One night, while I was sleeping, I smelled something really bad from the window so I got up suddenly at midnight because it was a very strong stinky smell that I had never experienced before.","At midnight one night, while I was sleeping, I smelled something really bad from the window, so I got up suddenly because it was a very strong, stinky smell that I had never experienced before.",1,3,,"The Life of David Gale is an amazing story which leaves you moping, gasping for air with the fascinating plot and a series of tightly and marvelously choreographed flashback sequences.",0,1
"My most memorable experience in my college life was that I worked at part-time job in various categories;a convenience store, a private educstional institute,burger barn and a little theater.","My most memorable experience in my college life was when I worked at part-time job in various categories; a convenience store, a private educstional institute, burger barn and a little theater.",0,1,,"People who are from a rich family or upper middle class can enjoy better educational sources and living environment, while the other ones from lower class may worry about tuition and health care.",1,2
"I think these two reasons are common understandings and closely related, so we need to change these understandings if we think insect dishes as an important ways to get through a food crisis.","I think these two reasons are common understandings and closely related, so we need to change these understandings if we think of insect dishes as an important way to get through a food crisis.",1,2,,"The amount of Fairtrade-labelled coffee sold to the Switzerland was the largest at 3 million, and amount of coffee trade in 5 countries was similar in 1999, all of them were less than 1.8 million.",0,1
"Hello, my name is Doris and I'm from latinoamerica, I'm trying to speak english, but I need to improve (in the last week I've been trying to learn french on my own, but that's another story).","Hello, my name is Doris and I'm from Latin America. I'm trying to speak English, but I need to improve (in the last week, I've been trying to learn  French on my own, but that's another story).",1,3,,There was another girls uniform school from the school near by to ours at the table next to us and I said to my friends it's already summer and our classes will starting from now on .,0,1
"If you shower abuse on somebody, but that is totally unchanged from kicking on your face with your shoes.(If someone is shower abuse to you, imagine that he is kicking himself by his own face.","If you use abusive words on somebody,it is no different from kicking that person on his face with your shoes. (If someone verbally abuse you, imagine that he is kicking himself in his own face.",1,2,,"Yes, of course Harry Potter's saga is a fantasy novel and nothing of what is written into it is true, but it gave to me a wonderful childhood, plenty of fantasy, dreams, hopes, and adventures.",1,2
"Their ancestors lived in an area that encompasses southeastern Mexico, all of Guatemala and Belize, and the western portions of Honduras and El Salvador, they follow living in this places.","Their ancestors lived in an area that encompasses southeastern Mexico, all of Guatemala and Belize, and the western portions of Honduras and El Salvador. They  continue living in  these places.",1,3,,Because of that this technique is criticized and some people recommend that the MAP be used instead of the ISCI even though according to the 2004 law of the bioethics MAP should only be used as a last resort.,1,2
"Following questions were so hard to response like ""if your best friend betrayed you, what would you do?"", ""if your best friend told you that he wanted to commit suicide, what would you do?","The following questions were  hard to respond to, like ""if your best friend betrayed you, what would you do?"", ""if your best friend told you that he wanted to commit suicide, what would you do?",1,3,,"throughout my over ten years of experience in learning and teaching, by helping students gain beautiful grades, I realize those students are like being freed from a cage, endowed with freedom.",1,3
"I know how to differentiate between ""the"" and ""a/an""  and ""plural form"" in Countable noun,but It's not clear for me how to differentiate between zero article and bare plural in Countable noun.","I know how to differentiate between ""the,"" ""a/an"" and ""plural form"" in countable nouns, but it's not clear to me how to differentiate between using no articles and a bare plural countable noun.",1,3,,"But some people think that sitting on the computer has a negative impact on our lives as obssesion by the video games, uncorrect pose while you're sitting, pressure on eyes and etc.",1,2
My uncle smiled and cleaned his tears while my grandfather was looking for the person who touched him and when he got noticed that was his brother all of them smiled and cleaned their tears.,My uncle smiled and wiped away his tears while my grandfather was looking for the person who touched him.  When he noticed that it was his brother all of them smiled and wiped away their tears.,1,2,,"Perhaps old human beings perceive that the unconsciously latent words had a great influence on human consciousness and behavior, sometimes causing serious consequences such as suicide and murder.",1,2
Spending a few months or even a year to seeking a job makes me happy is much better than spending a lifetime trapped in a place that we are reluctant to do because it's just as safe and stable.,Spending a few months or even a year to seek a job that makes me happy is much better than spending a lifetime trapped in a job that we are reluctant to do (just) because it's  safe and stable.,1,3,,"But colleges, where are so much different from the surroundings we used to live, have lots of new stuff that we never expect and imagine coming toward us, which can form us a brand new way of thinking.",0,1
"As Choi Jae-sok points out, Nihongi contains quite a number of errors about historical facts, nevertheless, Nihongi still plays an important role in the study of ancient East Asian history.","As Choi Jae-sok points out, Nihongi contains quite a number of errors regarding historical facts. Nevertheless, Nihongi still plays an important role in the study of ancient East Asian history.",1,3,,"Paid internship is fair game to everyone, because the interns get paid for how hard they worked whereas unpaid internship do not give any compensate so that can be seen as slavery.",1,2
"It might be because, soon after Kenji's generation, Japan plunged into the era in which Japanese compelled Japanese to sacrifice themselves in insane way, for example Kamikaze or Banzai-Attack.","It might be because soon after Kenji's generation, Japan plunged into the era in which the Japanese felt compelled to sacrifice themselves in insane ways, for example Kamikaze or Banzai-Attack.",0,1,,"As I'm studying Japanese too (and I want to learn more languages in the future) meanwhile I teach English, I think a lot about the ideal position -and attitude- of a teacher and a student and what this means.",1,3
"Andy is a woman who studied journalistm and she went to New York city for working as a journalist but she decided to work as Miranda's assistant even though, she didn't know anything about Miranda.","Andy is a woman who studied journalism. She went to New York City to become a journalist, but decided to work as Miranda's assistant instead, even though she didn't know anything about Miranda.",0,1,,"Even though I come across an English sentence that a non-native speaker wrote, which sounds unnatural or grammatically incorrect to me, I never bother to correct it unless I am asked to do so.",0,1
"People who are from a rich family or upper middle class can enjoy better educational sources and living environment, while the other ones from lower class may worry about tuition and health care.","People who are from a rich family or the upper middle class can enjoy better educational sources and living environment, while  those from a lower class may worry about tuition and health care.",1,2,,"In addition,once you work to live, you will have great passion to work in pursuit of a better life, which means you will put your heart on work instead of repeating it mechanically.",0,1
"Yes, of course Harry Potter's saga is a fantasy novel and nothing of what is written into it is true, but it gave to me a wonderful childhood, plenty of fantasy, dreams, hopes, and adventures.","Yes, of course Harry Potter's saga is a fantasy novel and nothing of what was written into it is true, but it gave to me a wonderful childhood, plenty of fantasy, dreams, hopes, and adventures.",1,2,,"Zero-mission electric cars and hydrogen cars look like earth-friendly cars when we think about them, but do you know that it would be a contradiction of the electric cars that is said to an economy car?",1,2
"throughout my over ten years of experience in learning and teaching, by helping students gain beautiful grades, I realize those students are like being freed from a cage, endowed with freedom.","As a result of  over ten years of experience in learning and teaching, by helping students earn high grades, I realize it is like freeing those students from a cage, endowing them with freedom.",1,3,,I joked that only the rich living in this upscale neighborhood would like to squander money on watching these old movies that the poor like me would download and watch on computers.,1,3
"But colleges, where are so much different from the surroundings we used to live, have lots of new stuff that we never expect and imagine coming toward us, which can form us a brand new way of thinking.","But colleges, are so much different from the surroundings we are useto , have lots of new stuff that we never expect and imagine coming toward us, which can form us a brand new way of thinking.",0,1,,"It is a matter of fact that the amount of people that go ahead to the shops and make their buys directly is decreasing notably, as a result more and more people chose shopping online to cover their necessities.",0,1
"Even though I come across an English sentence that a non-native speaker wrote, which sounds unnatural or grammatically incorrect to me, I never bother to correct it unless I am asked to do so.","Even though I came across an English sentence, that a non-native speaker wrote, which sounds unnatural or grammatically incorrect to me, I never bother to correct it unless I am asked to do so.",0,1,,"The reason why we call America ""America papa"" is because all Asian countries are under his control, so we have to behave ourselves to get some benefits from him, just like what a kid will do.",0,1
"The reason why we call America ""America papa"" is because all Asian countries are under his control, so we have to behave ourselves to get some benefits from him, just like what a kid will do.","The reason (why) we call America ""Papa America"" is because all Asian countries are under his control, so we have to behave ourselves to get some benefits from him, just like what a kid will do.",0,1,,People tend to go to foreign capital company when they take high score at the TOEIC test but it is ill-advised attempt because there are a lot of native English speakers and bilingual people.,1,2
People tend to go to foreign capital company when they take high score at the TOEIC test but it is ill-advised attempt because there are a lot of native English speakers and bilingual people.,People tend to go to a foreign capital company when they receive a high score on the TOEIC test but that is ill-advised because there are a lot of native English speakers and bilingual people.,1,3,,"In the late half of 2018, as a consumer, more and less we can find that the price of smart phones became more expensive after furious market competition between some brands in the first half of 2018.",1,2
"I don't hate driving, but I hate driving when it's dark outside, when the direction of sunlight would shoot directly from my windshield, when I'm so exhausted from work, or when I just get up.","I don't hate driving, but I hate driving when it's dark outside, when the direction of sunlight would shoot directly into my windshield, when I'm so exhausted from work, or when I just got up.",1,2,,"Not only does he know that with certainty, the results laid out in a meticulously crafted report, but also has he now a list of numerous closely-related relatives to get in touch with.",1,2
"But if she does not have enough knowledge in her field to present her views, skills, experiences; so, she is unable to demonstrate herself to employers that she is suitable at that position.","But if she does not have enough knowledge in her field to present her views, skills and experiences so, she is unable to demonstrate herself to employers that she is suitable at that position.",1,2,,"I don't hate driving, but I hate driving when it's dark outside, when the direction of sunlight would shoot directly from my windshield, when I'm so exhausted from work, or when I just get up.",1,2
"(For example, in a course designed for sales, I, first of all, set a competitive scene, just like in the real life; as for courses designed for engineers, I play with prize and serious incidents.","(For example, in a course designed for sales, I, first of all, set a competitive scene, just like in  real life; in courses designed for engineers, I play with prize (?) and serious incidents.",0,1,,"After he explained the situation, he continued to say, ""I am a major officer in the country, and I could do more things than yours to the society, you should sacrifice yourself, and give me your clothe.""",1,3
"In order to know what kind of standards a company is using to handle your data, you can search for an ISO 27000/27001 cerification on their web sites, also a certification of data destroy.","In order to know what kind of standards a company is using to handle your data, you can search for an ISO 27000/27001 cerification on their web sites, also a certification of data destruction.",1,3,,"I watched the specimen of skull of human and wried bitter smile thinking that compared with the universe it is very,very small, so whether it really can know of everythings of our universe.",0,1
"I know UK remains a sort of hierarchic society and people's accents differ based on their classes as well, not only from their regional dialects, but he didn't speak like ""Gooday mate"", did he?","I know UK remains a sort of hierarchic society and people's accents differ based on their classes as well, not only from their regional dialects, but he didn't speak like ""G'day mate"", did he?",1,2,,"But if she does not have enough knowledge in her field to present her views, skills, experiences; so, she is unable to demonstrate herself to employers that she is suitable at that position.",1,2
"Learning English at the language school in Brisbane, Australia, joining the organization for the international student and I traveled Asia and middle East as backpacking travel style for 6 months.","I learned English at the language school in Brisbane, Australia, joined the organization for the international students and I traveled Asia and middle East in a backpacking-style for 6 months.",0,1,,"The essence of the model is the fact that, without information about the internal structure of the process, the dependence of the output variables from the inputs is used for its mathematical description.",1,3
"Though science technology have developed so much today, I can't help saying that there are many pieces of information which isn't based on scientific evidence in newspapers and TV programs.","Though scientific technology has developed so much today, I can't help saying that in newspapers and TV programs there are many pieces of information which aren't based on scientific evidence.",1,2,,"I asked the shop assistant""Is this made of beef or pork?"" (I meant if the shoes were made from pigskin or cowhide), I can still remember the how the shop assistant's face looked like.",1,3
"Today I happened to read a newspaper article, which tells about ""omotenashi (hospitality),""  the word which became popular in Japan after Tokyo was nominated to host the 2020 Olympics last month.","Today I happened to read a newspaper article, which talks about ""omotenashi (hospitality),"" a word which became popular in Japan since Tokyo was nominated to host the 2020 Olympics last month.",1,3,,"(For example, in a course designed for sales, I, first of all, set a competitive scene, just like in the real life; as for courses designed for engineers, I play with prize and serious incidents.",0,1
"Like a prisoner who knows the chains that bind him, Vipassana helps you see clearly what is the root cause of your suffering, then eliminate it deeply rooted in your subconscious mind.","Like a prisoner who knows the chains that bind him, Vipassana helps you see clearly what is the root cause of your suffering, then eliminate it that is deeply rooted in your subconscious mind.",1,2,,"He mixed the vanguard's ideas of ''total rupture with all the previous culture'' with his solitary and noncomformist spirit, getting an outstanding poetry with a very personal and gloomy touch.",1,3
"There are many theories about the origin of Shichi-Go-San, but it started with the aristocrats in the Heian period, about a thousand years ago, and spread to the common people as well.","There are many theories about the origin of Shichi-Go-San, but it started with the aristocrats in the Heian period, about a thousand years ago, and later spread to the common people (as well).",1,3,,"In order to know what kind of standards a company is using to handle your data, you can search for an ISO 27000/27001 cerification on their web sites, also a certification of data destroy.",1,3
"There are many famous stereotypes, for examples, romantic French, rich Chinese tourists, Asian students are good at mathematics, or Indian students are better at computer programming.","There are many famous stereotypes, for examples, the French are romantics, rich Chinese tourists, Asian students are good at mathematics, or Indian students are better at computer programming.",0,1,,"From the aforementioned epitome which I did not expect to come across, I could solidify my firm dedication to achieving excellent critical thinking, debate, and problem solving skills.",1,2
"The chart presents the time spent on the telephone in the UK from 1995 to 2002, considering three types of line: local (fixed line), national and overseas (fixed line) and mobile (all calls).","The chart presents the time spent on the telephone in the UK from 1995 to 2002, considering three types of line: local (fixed line), national and overseas (fixed line), and mobile (all calls).",1,2,,"In Japan, even though almost citizens are not Christian, Xmas is considered that one of the most important event, and in that day they want to spend with boyfriend or girlfriend.",0,1
"Finally, on the last days of June we will have the oral exam where we have to prove our knowledge in Programming, Italian, History, Math, Computer Networks, Project Management and English.","Finally, on the last days of June we will have the oral exam, in which we have to prove our knowledge in Programming, Italian, History, Math, Computer Networks, Project Management and English.",1,3,,"I know UK remains a sort of hierarchic society and people's accents differ based on their classes as well, not only from their regional dialects, but he didn't speak like ""Gooday mate"", did he?",1,2
"In weekdays, I study my major and do my experiments, they are sometimes boring and tiring, but I have to do that for graduating my university, so I study my major with some complaints."," On weekdays, I study my major and do my experiments, they are sometimes boring and tiring, but I have to do that  in order to graduate my university, so I study my major with some complaints.",1,2,,"A old women said she was a nurse in the Nanking hospital, at that time,Japanese soldiers broke into the hospital and killed all wounded there,then they could have places for their own soldiers.",0,0
The second attempt gifted him with three full day of perfect functioning; the third one added twelve hours; the forth was less successful as it allowed the fridge to work only for six more hours.,After the second attempt he had three full day of perfect functioning; the third one added twelve hours; the forth was less successful as it allowed the fridge to work only for six more hours.,1,3,,"Another plot: Anglo-Saxons nomadize on Asia and Mongols became maritime power, created a great culture that expanded over the world and New-Mongolian Languages become the most common.",1,3
"Alongside with the elaborated reason above, another equally noteworthy reason in corroborating this point is that schools want to parent to participate in educational process of their children.","In addition to the aforementioned reasons, another equally noteworthy reason in emphasizing this point is that schools want parents to participate in the educational process of their children.",1,3,,"However, I believe, one day, not you and me, but civilization that evolved will go beyond four dimensions we know and be free from time, which means realizing an interstellar.",0,1
"Alongside with the elaborated reason above, another equally noteworthy reason in corroborating this point is that schools want to parent to participate in educational process of their children.","Alongside  the elaborated reason above, another equally noteworthy reason in corroborating this point is that schools want  parents to participate in the educational process of their children.",1,3,,I cannot help but wonder if the scholars who wrote the present course of study at the ministry several years ago were serious enough in imposing such an impracticable statement on the teachers in classrooms.,1,2
"According to him, a night is not a time to work but a time to reflect on ourselves, and we can get a good idea or an inspiration if we look up and watch the stars or the moon in the sky.","According to him, the night is not a time to work but a time to reflect on ourselves, and we can get a good idea or some inspiration if we look up and gaze at the stars or the moon in the sky.",1,2,,"Learning English at the language school in Brisbane, Australia, joining the organization for the international student and I traveled Asia and middle East as backpacking travel style for 6 months.",0,1
"With the help and guide of Chinese families, foreign students experienced the warming process of making traditional Chinese foods and tasted delicious hand-made dumplings in the end.","With the help and guidance of Chinese families, foreign students experienced the heart-warming process of making traditional Chinese foods and tasted delicious hand-made dumplings in the end.",1,3,,"As one of them, when I watch American dramas, I see the scene with a yearning, that a couple who are future parents fluently talk with shiny eyes about their plan of the interior of a room for their coming kid.",1,2
"There are many famous skyscrapers such as the Empire State Building, built in 1931 with its 102 floors and a breathtaking view, the Rockefeller Center, built in 1929 or the Chrysler Building.","There are many famous skyscrapers such as the Empire State Building, built in 1931, with its 102 floors and a breathtaking view;  Rockefeller Center, built in 1929; and the Chrysler Building.",1,2,,"However, it is not good for the environment to depend on exotic flowers from many countries, That is because importing them by transportation such as airplanes, trains and ship use a lot of fuel.",0,1
"As I have a full-time job in the legal services of the well-known company ""Zara"" the only option I had to follow the course successfully was to take the modality of part-time evening course.","As I have a full-time job in the legal services of the well-known company ""Zara,"" the only option I had to follow the course successfully was to take the modality of part-time evening course.",1,2,,"According to the course of study prescribed by the Education Ministry of Japan, English is supposed to be taught ""all in English"" at high school level from next school year on.",1,3
"Come to think of it, a reader of mine told me before that being ""childlike"" is totally different from being ""childish."" I looked them up and found the difference in meaning was very interesting.","Come to think of it, a reader of mine told me before that being ""childlike"" is totally different from being ""childish."" I looked them up and found the difference in meaning  very interesting.",0,1,,"Though science technology have developed so much today, I can't help saying that there are many pieces of information which isn't based on scientific evidence in newspapers and TV programs.",1,2
"The girl was wearing pelite shoes, she could never walk more than a mile in that shoes in the outback and the clothes of the children was layered and embroidered with flowers and different patterns.",Their clothes were layered and embroidered with flowers and different patterns. The girl was wearing polite shoes; she wouldn't be able to walk more than a mile in those shoes in the outback.,1,2,,"One of my most recent findings about English was that in some cases which we, the Japanese, feel like to use a subordinative clause, it is more natural in English to use a prepositional phrase.",0,1
"These hot hearts can only be given to the motherland and hometown, because that places are where we were born, that places are where our parents living in, that places are where can be our last homes.","These hot hearts can only be given to our motherland and hometowns, because those places are where we were born, those places are where our parents live, those places will be our final homes.",1,3,,"It seemed to be a weird old public bath that some grandpas and grandmas sparsely go in, so I have never approached it until now, but l tryed to go there because a light bulb of my bathroom blew out.",1,2
"Some have pointed out that perhaps because of no proper training on critical thinking growing up, he must have difficulty sorting foregoing issues through and effectively refuting their argument.","Some have pointed out that, perhaps because of no proper training on critical thinking growing up, he must have difficulty sorting through foregoing issues and effectively refuting arguments.",1,2,,"Today I happened to read a newspaper article, which tells about ""omotenashi (hospitality),""  the word which became popular in Japan after Tokyo was nominated to host the 2020 Olympics last month.",1,2
"I think these two reasons are common understandings and closely related, so we need to change these understandings if we think insect dishes as an important ways to get through a food crisis.","I think these two reasons are common understandings and closely related, so we need to change these understandings if we think insect dishes are an important way to get through a food crisis.",1,2,,"When I correct composition written by my students, who are native Japanese speaker, I often ask them, ""What do you mean?""It is difficult for all to explain something in a sentence.",1,3
"The theme is ""Dance photography"" I think there are big chances to win, but a doubt makes me gasp/suspirar: the day in which I made the CD with the archives of the pictures for the contest.","The theme is ""dance photography"". I think there are good winning chances, but a doubt makes me gasp/suspirar: the day in which I made the CD with the archives of the pictures for the contest.",1,3,,"-Haha well, good to know , at least you weren't with any girl haha although that would be complicated since lately you look like shit, above all wearing that shitty trackie ( Atletico de Madrid ).",0,1
"In the same square, which is very big and closed to traffic, there is the Goya museum, who is the most famous Aragonese artist for the reason that he painted the XIXth Spanish society.","In the same square, which is very big and closed to traffic, there is the Goya museum. He is the most famous Aragonese artist, the main reason being that he painted the XIXth Spanish society.",0,1,,"Like a prisoner who knows the chains that bind him, Vipassana helps you see clearly what is the root cause of your suffering, then eliminate it deeply rooted in your subconscious mind.",1,2
"But the next day January 1st was a newspaper holiday, and I was just a helper there, so I left the office, telling the others irresponsibly that maybe it could wait until after the holiday.","But the next day (January 1st) was a newspaper holiday, and I was just a helper there, so I left the office, telling the others irresponsibly that maybe it could wait until after the holiday.",1,3,,"When I correct composition written by my students, who are native Japanese speaker, I often ask them, ""What do you mean?""It is difficult for all to explain something in a sentence.",0,1
"On the one hand, some people state that dressing uniforms makes the schools look like unified and well-arranged; on the other hand, there are many people who oppose the idea of wearing uniforms.","On the one hand, some people state that requiring uniforms makes the schools look  unified and well-arranged; on the other hand, there are many people who oppose the idea of wearing uniforms.",1,3,,"It might be because, soon after Kenji's generation, Japan plunged into the era in which Japanese compelled Japanese to sacrifice themselves in insane way, for example Kamikaze or Banzai-Attack.",0,1
First of all the Christmas holiday in Africa or he choose an house closer to his workplace instead that closer to the home where lives our daughter or does special physical training....,"He chooses to spend the Christmas holiday in Africa or he chooses a house closer to his workplace, rather than one closer to where our daughter lives or receives special physical training....",1,3,,"There are many theories about the origin of Shichi-Go-San, but it started with the aristocrats in the Heian period, about a thousand years ago, and spread to the common people as well.",1,3
